x:Key,CN,EN,JP
RFIDBind_Confirm_Clear,確定要清除所有燒錄歷史紀錄嗎？此動作無法復原。,Are you sure you want to clear all burn history? This action cannot be undone.,すべての書き込み履歴を削除してもよろしいですか？この操作は元に戻せません。
RFIDBind_DateFilter_Custom,自訂,Custom,カスタム
RFIDBind_DateFilter_Last7Days,前7天,Last 7 days,過去7日間
RFIDBind_DateFilter_Today,今天,Today,本日
RFIDBind_Message_ClearError,清除時發生錯誤：{0},Error while clearing: {0},削除中にエラーが発生しました：{0}
RFIDBind_Message_ClearFailed,清除失敗，請稍後重試,Clear failed. Please try again later.,削除に失敗しました。後でもう一度お試しください
RFIDBind_Message_DateRangeTooLong,選擇的日期範圍不能超過一個月,Selected date range cannot exceed one month.,選択した日付範囲は1か月を超えることはできません
RFIDBind_Message_NoElectrodeData,未讀取到電極資料,No electrode data read.,電極データが読み取れませんでした
RFIDBind_Message_NoWorkpieceData,未讀取到工件資料,No workpiece data read.,ワークデータが読み取れませんでした
RFIDBind_Message_ResetOk,OK,OK,OK
RFIDBind_Subtitle_History,燒錄歷史資訊,Burn history,書き込み履歴情報
RFIDBind_Title,RFID 燒錄,RFID Write,RFID書き込み
RobotPositionPanel_Label_CurrentAction,目前動作,Current action,現在の動作
RobotPositionPanel_Label_NextAction,下一步,Next step,次のステップ
SelectItemWindow_Button_Cancel,取消,Cancel,キャンセル
SelectItemWindow_Button_Confirm,確認,Confirm,確認
SelectItemWindow_Title,選擇,Select,選択
SelectItemWindow_Title_Default,選擇物料,Select material,材料選択
SelectItemWindow_Title_Electrode,選擇電極,Select electrode,電極選択
SelectItemWindow_Title_Workpiece,選擇工件,Select workpiece,ワーク選択
SelectSharedElectrode_Message_SelectElectrode,請選擇電極,Please select an electrode.,電極を選択してください
SelectSharedElectrode_Message_SelectElectrodeFailed,選擇電極失敗,Failed to select electrode.,電極の選択に失敗しました
SelectSharedElectrode_Message_SelectWorkOrder,請選擇工單,Please select a work order.,作業指示を選択してください
SelectSharedElectrode_Message_SelectWorkOrderFailed,選擇工單失敗,Failed to select work order.,作業指示の選択に失敗しました
SelectSharedElectrodeWindow_Button_Confirm,確認,Confirm,確認
SelectSharedElectrodeWindow_Label_SelectElectrode,選擇電極,Select electrode,電極選択
SelectSharedElectrodeWindow_Label_SelectWorkOrder,選擇工單,Select work order,作業指示選択
SelectSharedElectrodeWindow_Title,選擇共用電極,Select shared electrode,共用電極選択
SelectWorksheetWindow_Button_Cancel,取消,Cancel,キャンセル
SelectWorksheetWindow_Button_Confirm,確認,Confirm,確認
SelectWorksheetWindow_Header_WorkOrder,工件名稱（工單編號）,Workpiece name (work order),ワーク名（作業指示番号）
SelectWorksheetWindow_SearchHint,搜尋,Search,検索
SelectWorksheetWindow_Title,選擇工單,Select work order,作業指示選択
Settings_Button_Backup,備份,Backup,バックアップ
Settings_Button_Confirm,確認,Confirm,確認
Settings_Button_ForceLubrication,強制潤滑,Force lubrication,強制潤滑
Settings_Button_MaintenanceComplete,維護完成,Maintenance complete,メンテナンス完了
Settings_Button_Restore,還原,Restore,復元
Settings_Button_Set,設定,Set,設定
Settings_Button_SetPeriod,設定週期,Set period,周期を設定
Settings_Column_DeviceName,裝置名稱,Device Name,デバイス名
Settings_Column_DeviceNo,裝置編號,Device No.,デバイス番号
Settings_Column_Ip,IP,IP,IP
Settings_Column_MachineName,機台名稱,Machine Name,機械名
Settings_Column_MachineNo,機台編號,Machine No.,機械番号
Settings_Column_MachineType,機台類型,Machine Type,機械タイプ
Settings_Column_Port,Port,Port,ポート
Settings_Column_RobotName,機械手臂名稱,Robot Name,ロボット名
Settings_Column_RobotNo,機械手臂編號,Robot No.,ロボット番号
Settings_Column_RobotType,機械手臂型號,Robot Model,ロボット型式
Settings_Column_WorkerName,使用者,User,ユーザー
Settings_Column_WorkerNo,工號,Employee No.,社員番号
Settings_Confirm_ChangeLanguage,確認切換語言？,Confirm language change?,言語を変更しますか？
Settings_EditDevice_Title_Id,裝置編號,Device ID,デバイス番号
Settings_EditDevice_Title_Ip,IP,IP,IP
Settings_EditDevice_Title_Name,名稱,Name,名称
Settings_EditDevice_Title_Port,Port,Port,ポート
Settings_EditDevice_WindowTitle,編輯裝置連線參數,Edit device connection parameters,デバイス接続パラメータを編集
Settings_EditMachine_Title_Id,機台編號,Machine ID,機械番号
Settings_EditMachine_Title_Ip,IP,IP,IP
Settings_EditMachine_Title_Name,名稱,Name,名称
Settings_EditMachine_Title_Port,Port,Port,ポート
Settings_EditMachine_Title_Type,類型,Type,タイプ
Settings_EditMachine_WindowTitle,編輯機台連線參數,Edit machine connection parameters,機械接続パラメータを編集
Settings_EditRobot_Title_Id,機械手臂編號,Robot ID,ロボット番号
Settings_EditRobot_Title_Ip,IP,IP,IP
Settings_EditRobot_Title_Name,名稱,Name,名称
Settings_EditRobot_Title_Type,類型,Type,タイプ
Settings_EditRobot_WindowTitle,編輯機械手臂連線參數,Edit robot connection parameters,ロボット接続パラメータを編集
Settings_Group_KeepLogin,保持登入,Keep signed in,サインインを保持
Settings_Group_Language,語言設定,Language,言語設定
Settings_Group_Lubrication,潤滑排程,Lubrication schedule,潤滑スケジュール
Settings_Group_Permission,權限設定,Permissions,権限設定
Settings_Group_RobotMaintenance,機器手臂維護,Robot maintenance,ロボットメンテナンス
Settings_Group_SystemBackup,系統備份,System backup,システムバックアップ
Settings_Group_SystemIp,系統IP位址,System IP,システムIP
Settings_Group_SystemRestore,系統還原,System restore,システム復元
Settings_Label_IpAddress,IP位址:,IP Address:,IPアドレス：
Settings_Label_KeepLogin,開啟程式時，自動登入上次使用者,Automatically sign in the last user when the app starts.,アプリ起動時に前回のユーザーで自動サインイン
Settings_Label_LastMaintenance,上次維護時間：,Last maintenance:,最終メンテナンス日時：
Settings_Label_LubricationPeriod,潤滑週期,Lubrication period,潤滑周期
Settings_Label_Password,密碼：,Password:,パスワード：
Settings_Label_Permission,權限,Permission,権限
Settings_Message_BackupError,系統備份發生例外：{0},System backup error: {0},システムバックアップエラー：{0}
Settings_Message_BackupFailed,系統備份失敗,System backup failed.,システムバックアップに失敗しました
Settings_Message_BackupInProgress,系統備份中，請稍候...,System backup in progress. Please wait...,システムバックアップ中です。お待ちください...
Settings_Message_BackupSuccess,系統備份成功,System backup succeeded.,システムバックアップが完了しました
Settings_Message_Busy,處理中...,Processing...,処理中...
Settings_Message_DeviceNotFound,找不到原始裝置資料，更新失敗,Original device data not found. Update failed.,元のデバイスデータが見つかりません。更新に失敗しました
Settings_Message_DeviceUpdated,裝置參數已更新,Device parameters updated.,デバイスパラメータが更新されました
Settings_Message_DeviceUpdateFailed,裝置更新失敗，請稍後再試,Device update failed. Please try again later.,デバイスの更新に失敗しました。後でもう一度お試しください
Settings_Message_EmptyPassword,密碼不可為空,Password cannot be empty.,パスワードは空にできません
Settings_Message_EnterPassword,請輸入密碼,Please enter the password.,パスワードを入力してください
Settings_Message_Exception,例外狀況,An exception occurred.,例外が発生しました
Settings_Message_ExpertEnabled,已開啟專家模式,Expert mode enabled.,エキスパートモードが有効になりました
Settings_Message_ExpertEnabledPrompt,已開啟專家模式,Expert mode enabled.,エキスパートモードが有効になりました
Settings_Message_InvalidIp,IP 位址格式不正確,Invalid IP address format.,IPアドレスの形式が正しくありません
Settings_Message_InvalidIpPrompt,IP 位址格式不正確，請輸入有效的 IPv4，例如：192.168.1.100,Invalid IP address format. Enter a valid IPv4 address (e.g. 192.168.1.100).,IPアドレスの形式が正しくありません。有効なIPv4アドレスを入力してください（例：192.168.1.100）
Settings_Message_InvalidPassword,密碼錯誤,Incorrect password.,パスワードが正しくありません
Settings_Message_InvalidPasswordPrompt,密碼錯誤，請再試一次,Incorrect password. Please try again.,パスワードが正しくありません。再度お試しください
Settings_Message_IpSaved,已設定 IP：{0},IP set to: {0},IPを設定しました：{0}
Settings_Message_MachineNotFound,找不到原始機台資料，更新失敗,Original machine data not found. Update failed.,元の機械データが見つかりません。更新に失敗しました
Settings_Message_MachineUpdated,機台參數已更新,Machine parameters updated.,機械パラメータが更新されました
Settings_Message_MachineUpdateFailed,機台更新失敗，請稍後再試,Machine update failed. Please try again later.,機械の更新に失敗しました。後でもう一度お試しください
Settings_Message_NoMaintenanceData,無潤滑資料,No lubrication data.,潤滑データがありません
Settings_Message_NotSaved,設定尚未儲存,Settings not saved.,設定はまだ保存されていません
Settings_Message_PeriodUpdateFailed,潤滑週期更新失敗，請稍後再試,Lubrication schedule update failed. Please try again later.,潤滑周期の更新に失敗しました。後でもう一度お試しください
Settings_Message_Reset,設定已重置,Settings have been reset.,設定がリセットされました
Settings_Message_RobotMaintenanceCompleted,機械手臂維護已標記為完成,Robot maintenance marked as complete.,ロボットメンテナンスが完了として記録されました
Settings_Message_RobotMaintenanceUpdated,維護狀態已更新,Maintenance status updated.,メンテナンス状態が更新されました
Settings_Message_RobotNotFound,找不到原始機械手臂資料，更新失敗,Original robot data not found. Update failed.,元のロボットデータが見つかりません。更新に失敗しました
Settings_Message_RobotUpdated,機械手臂參數已更新,Robot parameters updated.,ロボットパラメータが更新されました
Settings_Message_RobotUpdateFailed,機械手臂更新失敗，請稍後再試,Robot update failed. Please try again later.,ロボットの更新に失敗しました。後でもう一度お試しください
Settings_Message_SavedAt,設定已儲存於 {0},Settings saved at {0}.,{0} に設定を保存しました
Settings_Message_SaveIpFailed,設定 IP 失敗,Failed to save IP.,IPの保存に失敗しました
Settings_Message_SaveIpFailedPrompt,設定 IP 失敗：{0},Failed to save IP: {0},IPの保存に失敗しました：{0}
Settings_Message_SaveIpOk,設定IP OK,IP saved.,IPを保存しました
Settings_Message_SaveSuccess,設定儲存成功,Settings saved successfully.,設定が正常に保存されました
Settings_Message_SelectDevice,請先選擇要編輯的裝置,Please select a device to edit.,編集するデバイスを選択してください
Settings_Message_SelectExpert,請選擇專家模式再輸入密碼,Please select expert mode before entering the password.,パスワード入力前にエキスパートモードを選択してください
Settings_Message_SelectExpertPrompt,請先選擇專家模式,Please select expert mode first.,先にエキスパートモードを選択してください
Settings_Message_SelectMachine,請先選擇要編輯的機台,Please select a machine to edit.,編集する機械を選択してください
Settings_Message_SelectRobot,請先選擇要編輯的機械手臂,Please select a robot to edit.,編集するロボットを選択してください
Settings_Message_SelectWorker,請先選擇要編輯的使用者,Please select a user to edit.,編集するユーザーを選択してください
Settings_Message_SelectWorkerDelete,請選擇要刪除的使用者,Please select a user to delete.,削除するユーザーを選択してください
Settings_Message_SystemRestoreCompleted,系統還原完成,System restore completed.,システム復元が完了しました
Settings_Message_SystemRestored,系統已還原，所有資料已清除,System restored and all data cleared.,システムが復元され、すべてのデータが削除されました
Settings_Message_UpdateError,更新過程發生錯誤,An error occurred during update.,更新中にエラーが発生しました
Settings_Message_WorkerAddError,新增使用者時發生錯誤,An error occurred while adding a user.,ユーザー追加中にエラーが発生しました
Settings_Message_WorkerAddFailed,新增使用者失敗，請稍後再試,Failed to add user. Please try again later.,ユーザーの追加に失敗しました。後でもう一度お試しください
Settings_Message_WorkerDeleteFailed,使用者刪除失敗，請稍後再試,User deletion failed. Please try again later.,ユーザーの削除に失敗しました。後でもう一度お試しください
Settings_Message_WorkerUpdateError,使用者更新時發生錯誤,An error occurred while updating the user.,ユーザー更新中にエラーが発生しました
Settings_Message_WorkerUpdateFailed,使用者更新失敗，請稍後再試,User update failed. Please try again later.,ユーザーの更新に失敗しました。後でもう一度お試しください
Settings_Permission_Expert,專家,Expert,エキスパート
Settings_Permission_Staff,工作人員,Staff,スタッフ
Settings_Section_Device,設備,Devices,デバイス
Settings_Section_DeviceHint,設備的相關設定,Device settings,デバイス関連設定
Settings_Section_Worker,工作人員,Personnel,スタッフ
Settings_Section_WorkerHint,系統的工作人員設定,Personnel settings,システムスタッフ設定
Settings_SubTab_Device,設備,Devices,デバイス
Settings_SubTab_Machine,機台,Machines,機械
Settings_SubTab_Robot,機械手臂,Robots,ロボット
Settings_Tab_Advanced,進階設定,Advanced,詳細設定
Settings_Tab_Basic,基本設定,Basic,基本設定
Settings_Tab_Device,設備設定,Devices,デバイス設定
Settings_Tab_Maintenance,保養設定,Maintenance,メンテナンス設定
Settings_Tab_Worker,人員管理,Personnel,スタッフ管理
Settings_Text_DoNotClose,請勿關閉程式或中斷電源,Do not close the application or power off.,アプリケーションを閉じたり電源を切らないでください
Settings_Text_RobotMaintenanceNote,注意：如果系統顯示機器人的維護警報，請聯繫 FANUC 進行維護。,"Note: If a maintenance alert appears, contact FANUC for service.",注意：システムにロボットのメンテナンス警報が表示された場合は、FANUCに連絡してください。
Settings_Text_SystemBackupNote,注意：點擊備份資料庫。,Note: Click to back up the database.,注意：データベースをバックアップするにはクリックしてください。
Settings_Text_SystemRestoreNote,注意：點擊還原按鈕以還原系統。此過程將刪除所有材料、表單、日誌和使用情況。,"Note: Click Restore to reset the system. This will remove all materials, forms, logs, and usage data.",注意：復元ボタンをクリックしてシステムを復元してください。この操作により、すべての材料、フォーム、ログ、および使用データが削除されます。
Settings_Title,系統設定,Settings,システム設定
Settings_Tooltip_Add,新增,Add,追加
Settings_Tooltip_Edit,編輯,Edit,編集
Settings_Tooltip_Remove,刪除,Delete,削除
ShowMachineWindow_Button_ClearWorksheet,清除機台工單,Clear machine work orders,機械の作業指示をクリア
ShowMachineWindow_Button_ForceElectrodeOut,電極強制出倉,Force electrode out,電極を強制出庫
ShowMachineWindow_Button_ForceWorkOut,工件強制出倉,Force workpiece out,ワークを強制出庫
ShowMachineWindow_Column_CreateTime,建立時間,Created time,作成時間
ShowMachineWindow_Column_ElectrodeName,電極名稱,Electrode name,電極名
ShowMachineWindow_Column_WorksheetNumber,工單編號,Work order,作業指示番号
ShowMachineWindow_Column_WorkStatus,工單狀態,Status,作業状態
ShowMachineWindow_DateFilter_Custom,自訂,Custom,カスタム
ShowMachineWindow_DateFilter_Last7Days,前7天,Last 7 days,過去7日間
ShowMachineWindow_DateFilter_Today,今天,Today,本日
ShowMachineWindow_Header_Title,設備資訊,Machine information,機械情報
ShowMachineWindow_Label_CycleTime,狀態持續時間：,Status duration:,状態継続時間：
ShowMachineWindow_Label_ElectrodeName,電極名稱：,Electrode name:,電極名：
ShowMachineWindow_Label_EquipmentName,設備名稱：,Equipment name:,設備名：
ShowMachineWindow_Label_EquipmentType,設備類型：,Equipment type:,設備タイプ：
ShowMachineWindow_Label_MachineState,機台狀態：,Machine status:,機械状態：
ShowMachineWindow_Label_MainProgram,當前程式：,Current program:,現在のプログラム：
ShowMachineWindow_Label_ModelNo,設備型號：,Model no.:,設備型式：
ShowMachineWindow_Label_WorkPieceName,工件名稱：,Workpiece name:,ワーク名：
ShowMachineWindow_Label_WorkSheetName,工單名稱：,Work order name:,作業指示名：
ShowMachineWindow_Message_DateRangeTooLong,選擇的日期範圍不能超過一個月,Selected date range cannot exceed one month.,選択した日付範囲は1か月を超えることはできません
ShowMachineWindow_Section_WorkOrders,工單列表,Work orders,作業指示一覧
ShowMachineWindow_Title,設備資訊,Machine information,機械情報
ShowMachineWindowViewModel_DeviceName_Default,設備名稱,Machine name,機械名
ShowMaterialInformation_Kind_Electrode,電極,Electrode,電極
ShowMaterialInformation_Kind_Material,物料,Material,材料
ShowMaterialInformation_Kind_Probe,探針,Probe,プローブ
ShowMaterialInformation_Kind_Workpiece,工件,Workpiece,ワーク
ShowMaterialInformationWindow_Title,物料資訊,Material information,材料情報
ShowMaterialWindow_Button_CancelReservation,倉位解除預約,Storage cancel booked,スロット予約解除
ShowMaterialWindow_Column_CreateTime,建立時間,Created time,作成時間
ShowMaterialWindow_Column_ElectrodeName,電極名稱,Electrode name,電極名
ShowMaterialWindow_Column_WorksheetNumber,工單編號,Work order,作業指示番号
ShowMaterialWindow_Column_WorkStatus,工單狀態,Status,作業状態
ShowMaterialWindow_Kind_Electrode,電極,Electrode,電極
ShowMaterialWindow_Kind_Material,物料,Material,材料
ShowMaterialWindow_Kind_Workpiece,工件,Workpiece,ワーク
ShowMaterialWindow_Label_SlotCode,倉位編號,Slot code,スロット番号
ShowMaterialWindow_Message_Exception,例外狀況: {0},Exception: {0},例外が発生しました: {0}
ShowMaterialWindow_Message_ReturnFailed,回傳失敗,Request failed.,応答に失敗しました
ShowMaterialWindow_Section_WorkOrders,工單列表,Work orders,作業指示一覧
ShowMaterialWindow_Title,倉位資訊,Storage information,スロット情報
ShowMaterialWindow_Toggle_Disabled,禁用,Disabled,無効
ShowMaterialWindow_Toggle_Enabled,啟用,Enabled,有効
ShowMaterialWindow_Toggle_Tooltip,禁用 / 啟用,Disable / Enable,無効 / 有効
ShowRobotWindow_Button_MoveOut,物件移出手臂,Move out of arm,アームから搬出
ShowRobotWindow_Header_Title,設備資訊,Machine information,機械情報
ShowRobotWindow_Label_CurrentMaterial,目前物料,Current material,現在の材料
ShowRobotWindow_Label_CurrentProgram,當前程式,Current program,現在のプログラム
ShowRobotWindow_Label_EquipmentModel,設備型號,Equipment model,設備型式
ShowRobotWindow_Label_EquipmentName,設備名稱,Equipment name,設備名
ShowRobotWindow_Label_EquipmentType,設備類型,Equipment type,設備タイプ
ShowRobotWindow_Label_Status,機台狀態,Machine status,機械状態
ShowRobotWindow_Title,設備資訊 - 機器人,Machine information - Robot,機械情報 - ロボット
ShutdownWindow_Button_Cancel,取消,Cancel,キャンセル
ShutdownWindow_Button_Confirm,確定,Confirm,確認
ShutdownWindow_Message_ConfirmShutdown,確定要關閉FMS系統？,Are you sure you want to close the FMS system?,FMSシステムを終了してもよろしいですか？
ShutdownWindow_Message_RobotRunning,手臂正在運行中！確定要關機？,The robot is running. Are you sure you want to shut down?,ロボットが動作中です。本当にシャットダウンしますか？
ShutdownWindow_Text_ShutdownPrefix,即將關閉 ,Shutting down ,まもなく終了します 
ShutdownWindow_Text_ShutdownSuffix, 控制系統, control system, 制御システム
ShutdownWindow_Title,關閉確認視窗,Shutdown confirmation,シャットダウン確認
StorageDetailControl_Status_Booked,預約,Booked,予約
StorageDetailControl_Status_Completed,完成,Completed,完了
StorageDetailControl_Status_Fail,失敗,Fail,失敗
StorageDetailControl_Status_Disabled,禁用,Disabled,無効
StorageDetailControl_Status_Error,異常,Error,異常
StorageDetailControl_Status_Processing,加工中,Processing,加工中
StorageDetailControl_Status_Waiting,待加工,Waiting,加工待ち
StorageDetailControl_Tab_Electrode,電極,Electrode,電極
StorageDetailControl_Tab_Workpiece,工件,Workpiece,ワーク
StorageDetailControl_Tooltip_Back,返回,Back,戻る
StorageOverviewControl_Status_Booked,預約,Booked,予約
StorageOverviewControl_Status_Completed,完成,Completed,完了
StorageOverviewControl_Status_Fail,失敗,Fail,失敗
StorageOverviewControl_Status_Disabled,禁用,Disabled,無効
StorageOverviewControl_Status_Error,異常,Error,異常
StorageOverviewControl_Status_Processing,加工中,Processing,加工中
StorageOverviewControl_Status_Waiting,待加工,Waiting,加工待ち
StorageOverviewControl_Title,倉儲總覽,Storage Overview,ストレージ概要
StorageOverviewControl_Tooltip_Toggle,展開/收合倉儲,Expand/collapse storage,ストレージを展開/折りたたみ
StorageUnitControl_Button_Open,開啟,Open,開く
StorageUnitControl_Label_DoorStatus,門 狀 態,Door status,ドア状態
StorageUnitControl_Label_LowerDoor,下門,Lower,下ドア
StorageUnitControl_Label_ScanStatus,掃描狀態,Scan status,スキャン状態
StorageUnitControl_Label_UpperDoor,上門,Upper,上ドア
StorageUnitControlPage_Tooltip_Back,返回,Back,戻る
StorageUnitMiniControl_Button_Open,開,Open,開く
StorageUnitMiniControl_Label_LowerDoor,下門,Lower,下ドア
StorageUnitMiniControl_Label_UpperDoor,上門,Upper,上ドア
TaskList_Title,任務工作條,Task list,タスクリスト
UploadSheet_DefaultCsvPath,尚未選擇檔案,No file selected,ファイルが選択されていません
UploadSheet_Dialog_Filter_Csv,CSV 檔案 (*.csv)|*.csv,CSV files (*.csv)|*.csv,CSVファイル (*.csv)|*.csv
UploadSheet_Dialog_Title_Electrode,選擇檔案 (電極),Select file (electrode),ファイルを選択（電極）
UploadSheet_Dialog_Title_Workpiece,選擇檔案 (工件),Select file (workpiece),ファイルを選択（ワーク）
UploadSheet_Message_FileInUse,檔案被其他程式使用中，請先關閉該檔案後再試。,The file is in use. Close it and try again.,ファイルは他のプログラムで使用中です。閉じてから再試行してください。
UploadSheet_Message_FormatError,Format Error,Format Error,フォーマットエラー
UploadSheet_Message_ProgramSkipped,工單已建立，但以下機台未上傳程式，請手動傳送：{0},Work order created and programs were not uploaded for:{0},作業指示は作成されましたが、以下の機械にプログラムが未送信です。手動で送信してください：{0}
UploadSheet_Message_SelectWorkpieceOrElectrode,請選擇工件或電極,Please select workpieces or electrodes.,ワークまたは電極を選択してください
UploadSheet_Message_UploadFailed,上傳失敗：{0},Upload failed: {0},アップロード失敗：{0}
UploadSheet_Message_UploadFailedUnknown,上傳失敗（未知錯誤）,Upload failed (unknown error).,アップロード失敗（不明なエラー）
UploadSheet_Message_UploadSuccess,上傳成功,Upload succeeded.,アップロード成功
UploadSheetsWindow_Button_Clear,清除,Clear,クリア
UploadSheetsWindow_Button_SelectFolder,選擇資料夾,Select folder,フォルダを選択
UploadSheetsWindow_Button_Upload,上傳,Upload,アップロード
UploadSheetsWindow_Column_ElectrodeName,電極名稱,Electrode name,電極名
UploadSheetsWindow_Column_IsShared,是否共用電極,Shared electrode,共用電極
UploadSheetsWindow_Column_LifeTimes,壽命,Lifetime,寿命
UploadSheetsWindow_Column_MeasurementProgram,量測程式,Measurement program,測定プログラム
UploadSheetsWindow_Column_Offset,補償,Offset,補正
UploadSheetsWindow_Column_Program,加工程式,Program,加工プログラム
UploadSheetsWindow_Column_Select,選取,Select,選択
UploadSheetsWindow_Column_SharedElectrode,共用電極名稱,Shared electrode name,共用電極名
UploadSheetsWindow_Column_SharedWorksheet,共用電極工單,Shared work order,共用電極作業指示
UploadSheetsWindow_Column_Status,狀態,Status,状態
UploadSheetsWindow_Column_WorkpieceName,工件名稱,Workpiece name,ワーク名
UploadSheetsWindow_Group_Electrode,電極,Electrode,電極
UploadSheetsWindow_Group_Workpiece,工件,Workpiece,ワーク
UploadSheetsWindow_Header_Title,上傳工單,Upload work order,作業指示アップロード
UploadSheetsWindow_Label_Coordinate,座標,Coordinate,座標
UploadSheetsWindow_Label_Machine,機台,Machine,機械
UploadSheetsWindow_Message_Uploading,上傳中，請稍候...,Uploading…,アップロード中です。しばらくお待ちください...
UploadSheetsWindow_Title,上傳工單,Upload work order,作業指示アップロード
WorkOrder_Button_Fail,判定失敗,Mark failed,失敗判定
WorkOrder_Button_Revise,流程修正,Revise process,工程修正
WorkOrder_Button_Upload,上傳工單,Upload worksheet,作業指示アップロード
WorkOrder_Column_Coordinate,座標,Coordinate,座標
WorkOrder_Column_Delete,刪除,Delete,削除
WorkOrder_Column_EDMProgram,加工程式,EDM program,加工プログラム
WorkOrder_Column_ElectrodeName,電極名稱,Electrode,電極名
WorkOrder_Column_IsShare,是否共用電極,Shared,共用
WorkOrder_Column_LabelSerial,標籤序號,Tag serial,タグシリアル
WorkOrder_Column_NeedEDM,需EDM,Needs EDM,EDM必要
WorkOrder_Column_Offset,補償,Offset,補正
WorkOrder_Column_SetupUser,設定者,Setup user,設定者
WorkOrder_Column_ShareElectrode,共用電極名稱,Shared electrode,共用電極名
WorkOrder_Column_Status,狀態,Status,状態
WorkOrder_Column_TargetEDM,目標EDM,Target EDM,対象EDM
WorkOrder_Column_WorkpieceName,工件名稱,Workpiece,ワーク名
WorkOrder_Column_WorksheetNumber,工單編號,Work order,作業指示番号
WorkOrder_Confirm_Delete,確定要刪除工單 {0} 嗎？\n注意：此操作會一併刪除該工單底下已建檔的電極與工件。,Delete work order {0}?\nThis will also delete related electrodes and workpieces.,作業指示 {0} を削除しますか？\n注意：関連する電極およびワークも削除されます。
WorkOrder_Confirm_Fail,確定要判定為失敗工單,Are you sure you want to mark this as failed?,この作業指示を失敗として判定しますか？
WorkOrder_DateFilter_Custom,自訂,Custom,カスタム
WorkOrder_DateFilter_Last7Days,前7天,Last 7 days,直近7日間
WorkOrder_DateFilter_Today,今天,Today,本日
WorkOrder_EDMStageDisplay_Format,EDM加工階段：{0} / {1},EDM stage: {0} / {1},EDM加工段階：{0} / {1}
WorkOrder_Message_BackendFailed,後端連線失敗：{0},Backend connection failed: {0},バックエンド接続失敗：{0}
WorkOrder_Message_DateRangeTooLong,選擇的日期範圍不能超過一個月,Selected date range cannot exceed one month.,選択した日付範囲は1か月を超えることはできません
WorkOrder_Message_DeleteElectrodeFailed,刪除電極失敗：{0}（已中止刪除工單）,Failed to delete electrode: {0} (aborted deleting work order).,電極の削除に失敗しました：{0}（作業指示の削除を中止）
WorkOrder_Message_DeleteError,刪除工單失敗：{0},Failed to delete work order: {0},作業指示の削除に失敗しました：{0}
WorkOrder_Message_DeleteSuccess,已成功刪除工單與關聯的電極/工件。,Work order and related items deleted.,作業指示および関連する電極／ワークを削除しました。
WorkOrder_Message_DeleteWorkOrderFailed,刪除工單失敗（工單：{0}）。,Failed to delete work order ({0}).,作業指示の削除に失敗しました（{0}）。
WorkOrder_Message_DeleteWorkpieceFailed,刪除工件失敗：{0}（已中止刪除工單）,Failed to delete workpiece: {0} (aborted deleting work order).,ワークの削除に失敗しました：{0}（作業指示の削除を中止）
WorkOrder_Message_FailResultFailed,回傳失敗 訊息:{0},Failure returned: {0},失敗応答：{0}
WorkOrder_Message_MissingWorksheetId,找不到工單 ID，無法刪除工單。,Missing worksheet ID; unable to delete work order.,作業指示IDが見つからないため削除できません。
WorkOrder_Message_MissingWorksheetNumber,找不到工單號 (WorksheetNumber)，無法刪除關聯資料。,Missing worksheet number; unable to delete related data.,作業指示番号が見つからないため関連データを削除できません。
WorkOrder_Message_NoResponse,無回傳資料,No response returned.,応答データがありません
WorkOrder_Message_RemoveElectrodeReminder,請記得手動將電極從機台上移除並重新開啟遠端模式,Remember to remove the electrode and re-enable remote mode.,電極を機械から取り外し、リモートモードを再有効化してください
WorkOrder_Message_ReviseFailed,失敗 訊息:{0},Failed message: {0},失敗メッセージ：{0}
WorkOrder_Message_ReviseRobotRunning,請先取消機器人啟動狀態與關閉派工功能後，才能進行流程修正。,Disable robot start/dispatch before revising.,ロボット起動および自動搬送を停止してから工程修正を行ってください。
WorkOrder_Message_SelectWorkOrder,請先選擇一筆工單。,Please select a work order first.,まず作業指示を選択してください。
WorkOrder_SubTab_Completed,Completed,Completed,完了
WorkOrder_SubTab_Processing,Processing,Processing,加工中
WorkOrder_SubTab_Queueing,Queueing,Queueing,待機中
WorkOrder_SubTab_Waiting,Waiting,Waiting,待ち
WorkOrder_Tab_EDM,EDM,EDM,EDM
WorkOrder_Tab_Failure,失敗工單,Failed,失敗作業指示
WorkOrder_Tab_New,新工單,New,新規作業指示
WorkOrder_Title,工單管理,Work orders,作業指示管理
WorkOrder_Tooltip_Delete,刪除,Delete,削除
WorkpieceDetailView_Button_ClearReservation,工件解除預約,Workpiece cancel booked,ワーク予約解除
WorkpieceDetailView_Label_BatchNo,批號,Batch number,ロット番号
WorkpieceDetailView_Label_Name,工件名稱,Workpiece name,ワーク名
WorkpieceDetailView_Label_Number,工件編號,Workpiece number,ワーク番号
WorkpieceDetailView_Label_PartNo,零件件號,Part number,部品番号
WorkpieceDetailView_Label_Status,狀態,Status,状態
WorkpieceDetailView_Label_Type,工件類型,Workpiece type,ワークタイプ
WorkpieceDetailView_Label_WorkOrder,工單序號,Work order number,作業指示番号
WorkpieceDetailView_Label_Offset,補償,Offset,補正
WorkpieceDetailView_Title,工件資訊,Workpiece information,ワーク情報
WorkpieceDetailView_Tooltip_Lock,鎖定/解除鎖定,Lock/Unlock,ロック / ロック解除
